"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KIF1C",3050.46278073891,-2.28194255690099,0.13863051972503,-16.460607385929,7.03905705853331e-61,8.27568389013104e-59
"OR13C2",0.323079662903276,-2.28236885905233,0.973295979740826,-2.34498950633711,0.0190276151175052,0.0294274665126337
"TNFRSF14",1807.15685674455,-2.28311139444909,0.161838952063371,-14.1073046095546,3.42417417616042e-45,1.22672631930485e-43
"STK32C",122.745631031056,-2.2831852571404,0.152608809139658,-14.9610318697328,1.3196390527232e-50,7.27894298640843e-49
"SNX21",1259.3637144924,-2.28424777992527,0.142963518813881,-15.9778368557019,1.82365300002784e-57,1.62519282657286e-55
"CXorf49B",0.612745877762722,-2.28498066234545,0.878875017231008,-2.59989260992369,0.00932529380695784,0.0150982095761194
"C21orf58",57.1275757622924,-2.28506208594319,0.18334627338784,-12.4630953426007,1.18673370785956e-35,2.13953819382427e-34
"COL5A1",16046.4393220157,-2.28510197302749,0.268424651643618,-8.51301085438822,1.69474202190717e-17,8.72886254886864e-17
"RILPL1",286.019022485075,-2.2856509521801,0.142864417834712,-15.9987419318399,1.30383215053965e-57,1.17448074510122e-55
"DOCK6",918.652382177273,-2.28602882837713,0.197572998060801,-11.5705529136812,5.81069935323819e-31,7.66253466054717e-30
"NGFR",474.974882630277,-2.28612225070695,0.262664330925064,-8.70358850269306,3.21551420899192e-18,1.74405256273718e-17
"C2orf81",45.2558556334272,-2.28642675198362,0.169083933892658,-13.5224364571216,1.15293097867842e-41,3.09118817645236e-40
"RP11-215H22.1:ENSG00000261340",0.922348629831875,-2.28668105956378,0.865476761060164,-2.64210567221091,0.00823923449942091,0.013442368254251
"SOGA1",2042.49168492831,-2.28681056203411,0.14844178053821,-15.4054374296963,1.50467473540878e-53,9.941969584197e-52
"ATOH8",326.974243189711,-2.28739805436953,0.201410286067465,-11.3569078274549,6.85274436348226e-30,8.32636702330533e-29
"AC092614.2:ENSG00000227542",31.1532736410123,-2.28915000558862,0.198679318849169,-11.5218333687085,1.0240850761191e-30,1.32123330634592e-29
"LINC00311:ENSG00000179219",11.8393944470039,-2.28970401073353,0.346850744703877,-6.60141010418864,4.07265198262796e-11,1.37006113580023e-10
"VWA2",63.103689094789,-2.28978542619724,0.267784933807031,-8.55083739642832,1.22198673417059e-17,6.35666634754879e-17
"FLJ00313",117.642984110919,-2.28979984769445,0.166486764499592,-13.7536449493561,4.84269183524619e-43,1.44714425940615e-41
"POLRMT",481.252092281919,-2.29030080319584,0.127997542882859,-17.8933185091833,1.32949600499953e-71,3.96348082823789e-69
"TNNT3",86.0804533223253,-2.29113905595983,0.318662405602828,-7.18986305154377,6.48563420096197e-13,2.4818650926114e-12
"BC035181",1.67581442863917,-2.29144952202467,0.995872588445128,-2.30094647509311,0.0213946567019611,0.0328046162827889
"FN3K",78.8900114170365,-2.29198334101332,0.158868969884737,-14.4268785948333,3.50592290347238e-47,1.45356492299264e-45
"EVA1B",203.654711999697,-2.29291751519707,0.19034723814596,-12.0459720746714,2.03661295436217e-33,3.14431945765336e-32
"ADAM33",692.069022507651,-2.29313507760192,0.292911618010934,-7.82876108900645,4.92700886193029e-15,2.16535900176304e-14
"BC036195",37.1943601856512,-2.29327881839571,0.17922595710403,-12.7954614133521,1.73817009649743e-37,3.54168067994211e-36
"RP11-666A20.4:ENSG00000248787",8.78077555677512,-2.29368648491489,0.254831595423242,-9.0007931752159,2.2409275576504e-19,1.32571008501491e-18
"LOC158376",20.8425112727505,-2.29390503597737,0.287671713659669,-7.97403751239574,1.53572893814418e-15,6.98089019223207e-15
"PCDH8",2.18429029331884,-2.29418489196073,0.609867111616123,-3.76177834197557,0.000168709532659937,0.000336250051214887
"AK095700",275.77043975091,-2.29456444035316,0.176707317697198,-12.9851127290896,1.48619192047707e-38,3.22785932979937e-37
"FOXH1",0.867673437005076,-2.29476654928554,0.557061092854865,-4.11941630589414,3.79833355054625e-05,8.0329253249539e-05
"C11orf87",8.37967233214871,-2.29490324192354,0.508125529342875,-4.51641003925031,6.28968192323277e-06,1.4243643942991e-05
"OR2A9P",18.5075633141627,-2.29526330351411,0.945605113610408,-2.427295781799,0.0152118482787573,0.0238666189209098
"ERICH1",829.990478435978,-2.29721088224258,0.142374222416627,-16.1350196914179,1.447614214251e-58,1.41055078417407e-56
"FLJ11235",10.8476780033515,-2.30007380863282,0.250427237910916,-9.1845991986344,4.1306267517024e-20,2.57503497924151e-19
"AC023137.2:ENSG00000228950",0.507990405370146,-2.30095865090108,0.750717511990007,-3.06501262345897,0.0021766080999739,0.00382101989246121
"C20orf27",446.66046297118,-2.30107104053159,0.142472460150154,-16.1509883250872,1.11756629057207e-58,1.11055932732166e-56
"MICALL2",300.196752275207,-2.30121418061524,0.209493620205603,-10.984650407763,4.52988965518471e-28,4.8685620920659e-27
"PITPNM3",188.121527444969,-2.30122017919664,0.203162036813792,-11.3270186462337,9.64314224868728e-30,1.15930661637843e-28
"RIMS4",112.657777755381,-2.30177853730825,0.316076670506189,-7.28234239376797,3.28073118538283e-13,1.27988892887299e-12
"CHST2",1382.13823009705,-2.30178167361628,0.197331746294593,-11.6645279679428,1.93473136667958e-31,2.64318291786089e-30
"RP11-429A20.3:ENSG00000256790",6.7291197266106,-2.30301406075024,0.358594826828272,-6.42232929325869,1.34204713258346e-10,4.3579913792929e-10
"RP11-214C8.2:ENSG00000264954",3.74299280733685,-2.30348467901424,0.324506380013739,-7.09842647444008,1.26185288148826e-12,4.73681904635421e-12
"CCDC160",3.07051954755439,-2.3040074397237,0.473397973128722,-4.86695670557342,1.13329843312647e-06,2.7391235751716e-06
"TMEM160",45.3372694422435,-2.30498208241985,0.205115353038601,-11.2374917248933,2.66856982407232e-29,3.11399466609595e-28
"MYL5",139.349022497478,-2.30547569657053,0.156877330612799,-14.6960410886953,6.83400193134709e-49,3.27221943336126e-47
"AP000439.2:ENSG00000255606",1.00782794639936,-2.30604591715935,0.481609004125651,-4.78821180128458,1.68274000674961e-06,4.0071486543385e-06
"FBF1",232.561241354384,-2.307443307946,0.145745514373436,-15.8320022256998,1.87169176466283e-56,1.53172892714662e-54
"OPLAH",124.929435781405,-2.30762818452076,0.173043093843458,-13.3355693848628,1.43752937518432e-40,3.57129073545296e-39
"LOC100294362",51.5880255814996,-2.30775753671297,0.270669436166064,-8.52611055537533,1.51350619429334e-17,7.82598020183643e-17
"PDGFB",636.910260194919,-2.3078807751668,0.152599951953558,-15.1237319908802,1.12955452182971e-51,6.62442724488516e-50
"C1QTNF8",5.08474347873842,-2.30874393248283,0.863722433753718,-2.67301605499475,0.00751726526492724,0.0123343832239751
"ABCA7",644.773497362143,-2.30912028421897,0.192247555914338,-12.0111814854379,3.10378722053447e-33,4.75673436821445e-32
